Cesk,Commodity,Trader Name,Trader Email,CQuantity
C-6088,Soybeans,Ruth Ortega,pigoj@cofij.cd,"65,796"
C-7946,Soybeans,Michael Palmer,lubak@awfe.net,"72,567"
C-6038,Rapeseed,Dollie Zimmerman,riv@foswa.kh,"34,214"
C-3300,Milk,Maud Shaw,dusvul@biduvi.ml,"93,734"
C-2631,Sugar No.11,Flora Ray,zokco@hitufbek.kn,"32,878"
C-6839,Sugar No.14,Estella Gonzalez,lupwo@sodvim.by,"59,598"
C-9072,Coffee C,Brent Cobb,cak@hadwumud.ao,"33,878"
C-7258,Rapeseed,Stephen Chavez,tampehan@ududu.tv,"26,067"
C-1031,Sugar No.11,Nelle Fox,beptanij@cohobatad.ck,"49,470"
C-4819,Cocoa,Lillian Turner,lioneuna@zefogdic.cz,"71,548"
C-2896,Rough Rice,Ina Hammond,mafe@bokjiroh.sl,"53,223"
C-2707,Rough Rice,Sam Malone,iwnar@jizdub.au,"1,009"
C-7201,Robusta coffee,Bessie Erickson,po@ci.dk,"67,677"
C-233,Cotton No.2,Harvey Bowers,ja@cieho.sa,"91,397"
C-7910,Corn,Beatrice Brown,ed@dana.ni,"47,708"
C-9750,Sugar No.14,Sadie Robbins,dafjefa@kup.pg,"16,780"
C-4753,Rough Rice,Cordelia Ramirez,botjozke@ukiovi.jm,"57,054"
C-5053,Soybean Meal,Russell Clarke,fabaan@hefanoz.cz,"96,595"
C-2083,Milk,Aiden Rios,kul@wufna.tk,"88,635"
C-163,Soybean Meal,Gabriel Valdez,ju@jodammo.net,"10,810"
C-1109,Sugar No.14,Jose Soto,puj@likeviv.kz,"94,140"
C-6982,Wheat,Tommy Foster,samob@nirja.do,"50,738"
C-6121,Cocoa,Chester Atkins,bilta@du.gp,"19,760"
C-1385,Frozen Concentrated Orange Juice,Derrick Houston,umo@epu.ci,"77,309"
C-5523,Robusta coffee,Harriet Carpenter,ovu@luf.fr,"1,693"
C-4765,Soybean Meal,Jeff Garza,ukuviri@wobri.is,"67,875"
C-4671,Sugar No.11,Rosie Gill,efeelfe@heezlu.om,"96,060"
C-205,Soybean Oil,Mae Hale,bojge@go.mm,"50,124"
C-8969,Rapeseed,Anne Swanson,ganis@zacal.ky,"22,809"
C-3299,Rough Rice,Vernon Maxwell,femak@tofic.ai,"78,408"
C-4669,Rapeseed,Nora Higgins,elpu@fi.tl,"10,117"
C-5159,Sugar No.11,Myrtle Powell,re@laz.ss,"73,062"
C-4904,Soybean Meal,Violet Walters,hotzashil@vuci.bt,"36,283"
C-1895,Cotton No.2,Edgar Carlson,lunoij@nulvajo.dm,"79,755"
C-1078,Robusta coffee,Ollie Lawrence,reba@sakboofu.ge,"22,720"
C-4983,Cotton No.2,Edward Reid,feda@duumfa.gg,"40,243"
C-6112,Soybeans,Addie Klein,toet@kog.gd,"46,867"
C-8715,Rapeseed,Sara Hunter,megte@hatugtem.cz,"45,362"
C-9995,Sugar No.11,Luke Cobb,imowalheh@ehna.ky,"81,913"
C-2736,Rough Rice,Michael Collier,pebvit@tiazce.kw,"20,899"
C-7151,Corn,Randy Estrada,winpulpaz@losivhit.gg,"38,580"
C-1446,Rapeseed,Leo Thompson,abdisoc@sazul.ke,"71,003"
C-3080,Cotton No.2,Agnes Cole,vibca@jek.uz,"73,864"
C-4166,Robusta coffee,Marian Griffin,maco@ilzufnu.cd,"24,235"
C-9529,Sugar No.11,Lulu Stewart,acakeij@seep.tn,"45,382"
C-6721,Sugar No.11,Georgia Nelson,goegi@def.fj,"23,661"
C-8179,Soybean Oil,Travis Daniel,sa@peohe.hm,"10,642"
C-8006,Sugar No.14,May Miles,tul@re.tm,"20,740"
C-3088,Soybeans,Franklin Underwood,moge@pepuzo.id,"77,359"
C-8006,Milk,Hallie Bennett,ra@us.gi,"1,673"
C-5290,Cotton No.2,Anthony Harrison,hehurpag@suf.gb,"49,064"
C-2531,Corn,Joshua Blair,pazili@fum.la,"55,678"
C-4585,Soybeans,Nathaniel Wade,esezuoju@sihe.ne,"72,686"
C-5080,Rapeseed,Susie Burgess,genbof@ah.bw,"5,573"
C-7063,Cotton No.2,Harold Williamson,ogsomji@ucpuh.mk,"92,071"
C-5506,Sugar No.14,Lily Daniel,pubekhir@se.im,"95,714"
C-4616,Adzuki bean,Ethan Anderson,en@bak.mv,"34,115"
C-6803,Sugar No.11,Justin Ortega,got@sesjeme.to,"8,009"
C-925,Adzuki bean,Bessie Campbell,cefe@ipu.th,"58,489"
C-2354,Soybean Meal,Hattie Barber,sogpon@mi.lc,"14,612"
C-6242,Sugar No.14,Duane Griffith,dikog@tatsah.me,"23,532"
C-3,Soybean Meal,Catherine Rodgers,osu@goma.sk,"19,087"
C-8868,Soybean Meal,Charlotte Peters,pugema@tafvustah.cx,"39,857"
C-1885,Cocoa,Travis Stokes,mipteha@behzicon.tl,"66,825"
