BDesk,Commodity,Trader Name,Trader Email,BQuantity
B-7124,Soybeans,Marc Holmes,izo@no.sx,"28,641"
B-3925,Frozen Concentrated Orange Juice,Roger Ortega,iziuto@mawad.eu,"56,212"
B-8685,Soybean Meal,Lou Mendez,uhcahpak@ehobotciw.jm,"1,831"
B-8905,Frozen Concentrated Orange Juice,Edward Fowler,hubedvog@ragu.it,"55,420"
B-5170,Frozen Concentrated Orange Juice,Devin Hughes,sukfun@okuusu.im,"15,434"
B-6196,Coffee C,Lois Jacobs,otsikda@fecum.ag,"86,814"
B-3125,Cocoa,Mario Graves,pavza@ebi.nz,"11,375"
B-6254,Rough Rice,Warren Baldwin,eta@nu.co,"4,474"
B-4181,Oats,Claudia Adkins,zirlatwek@bukve.as,"62,212"
B-8258,Cocoa,Luella Valdez,alo@bukse.cc,"92,724"
B-6618,Milk,Bettie Allison,ti@so.gt,"70,013"
B-5967,Milk,Matilda Griffith,gafbu@zigru.mn,"8,256"
B-9139,Cocoa,Christopher Burke,cowazzeg@etvor.edu,"60,945"
B-286,Cocoa,Danny Terry,poflenno@owir.md,"42,441"
B-2631,Corn,Tony Chandler,wonruniv@tijpilili.ly,"43,243"
B-8322,Wheat,Bobby Pearson,ki@musgivhej.kr,"28,858"
B-193,Corn,Larry Lopez,sukfuza@halirihi.tj,"70,874"
B-6829,Soybean Oil,Mayme McBride,ojibuw@og.ax,"84,744"
B-8141,Sugar No.11,Eliza Kennedy,uv@fahlenu.gw,"63,628"
B-6866,Sugar No.11,Mark Lindsey,kipurok@jugowi.aq,"83,863"
B-6457,Sugar No.14,Effie Chapman,ewne@ca.th,"8,553"
B-5898,Rapeseed,Kenneth Steele,bu@tam.nu,"58,905"
B-4939,Frozen Concentrated Orange Juice,Clifford Marshall,mogig@zawgodu.fo,"95,753"
B-5037,Sugar No.14,Ronald Stokes,rurja@upiwadov.tl,"23,938"
B-4899,Adzuki bean,Ricky Love,fufig@wowilu.uk,"37,976"
B-9464,Adzuki bean,Robert Mills,ur@doavopak.bo,"71,845"
B-6940,Soybean Oil,Scott Reed,zavo@ji.ck,"76,626"
B-6488,Sugar No.11,Albert Knight,imamu@rihoc.gq,"29,829"
B-9032,Rough Rice,Dennis Frazier,lowi@nu.co,"10,919"
B-2039,Soybeans,Marion McCoy,ef@upo.nz,"22,572"
B-8131,Rapeseed,Stanley Banks,tu@sozilucuw.vc,"32,937"
B-6262,Robusta coffee,Alvin Blair,pujejdap@libji.st,"35,224"
B-4014,Sugar No.11,Cora Roy,ivocudces@daful.gf,"46,847"
B-7262,Frozen Concentrated Orange Juice,Adelaide Aguilar,uzi@uke.dm,"61,143"
B-2764,Corn,Gabriel Lewis,voukekam@foj.kg,"46,708"
B-6736,Robusta coffee,Jeremy Reese,culep@etpale.cz,"13,880"
B-1624,Soybeans,Irene Stewart,ipu@cidaze.om,"40,313"
B-8560,Soybeans,Lois Poole,nubrev@zebuc.pr,"7,276"
B-9683,Soybeans,Dale Cain,vi@vekat.ag,"28,571"
B-3347,Frozen Concentrated Orange Juice,Travis Santos,cof@ugagoka.co.uk,"17,543"
B-7981,Soybean Meal,Marian Barker,kuswuvo@itlah.et,"65,340"
B-6924,Robusta coffee,Lottie Cummings,diip@susnuk.jp,"93,833"
B-6922,Milk,Tom Harmon,ifevunvo@vovti.dm,"61,143"
B-8805,Soybean Oil,Clarence Fitzgerald,ha@dunkuaga.ci,"46,094"
B-9480,Coffee C,Ronnie West,kizij@jeb.bo,"34,254"
B-3521,Soybeans,Christopher Kelly,gepi@bep.nz,"73,231"
B-5815,Soybean Oil,Betty Perez,ho@awu.mo,"30,145"
B-5813,Sugar No.14,Jack Welch,coc@newebde.su,"57,796"
B-2674,Rapeseed,Julian Ingram,togfof@fehsit.dm,"78,844"
B-7900,Cocoa,Gary Ramirez,hak@edlako.tw,"40,867"
B-9547,Corn,Lida Wood,teg@muf.ru,"84,348"
B-8441,Corn,Milton Nunez,vobva@so.gd,"73,389"
B-3334,Soybean Oil,Polly Miller,raskez@filtezab.sy,"94,021"
B-6638,Cotton No.2,Lela Hardy,amijaoro@vemotzim.pe,"97,050"
B-6006,Adzuki bean,Ann Dawson,pan@gibasbi.qa,"39,382"
B-9763,Milk,Eleanor Dean,zavoj@bahnubdog.cg,"45,431"
B-6924,Rapeseed,Marion Watkins,kige@nihef.py,"36,967"
B-7932,Coffee C,Lucinda Taylor,nus@sebfinvuc.km,"29,848"
B-1316,Frozen Concentrated Orange Juice,Sylvia Wilkerson,hij@escofek.mw,"98,149"
B-505,Milk,Maud May,ku@herfebcor.cx,"81,180"
B-8704,Sugar No.11,Dylan Cain,lilpa@pemwulpic.gf,"43,491"
B-2743,Cotton No.2,Louisa Lloyd,rigu@zida.gq,"60,460"
B-3878,Milk,Derrick Alvarez,kalate@se.il,"71,389"
B-3389,Sugar No.14,Vincent Harris,urupacfu@dafasgoc.cw,"58,697"
B-9900,Frozen Concentrated Orange Juice,Wayne Reeves,iwuzen@aj.my,"19,750"
B-5298,Cocoa,Connor Silva,vejodguc@becasul.ke,"3,178"
B-7438,Rough Rice,Lina Armstrong,rin@nafo.fm,"56,004"
B-8351,Cocoa,Seth Terry,je@gen.ge,"59,351"
B-3354,Sugar No.11,Barbara Hogan,zuh@acpab.sy,"46,104"
B-6944,Rough Rice,Mathilda Gibbs,bem@dopu.ir,"8,286"
B-8925,Corn,Glen Perry,mi@vudug.bs,"19,206"
B-5538,Soybeans,Rhoda Hughes,golugi@fozej.to,"17,691"
B-6045,Milk,Floyd Torres,misdew@ika.tn,"83,467"
