ADesk,Commodity,Trader Name,Trader Email,AQuantity
A-7900,Cocoa,Gary Ramirez,hak@edlako.tw,"40,867"
A-9547,Corn,Lida Wood,teg@muf.ru,"84,348"
A-8441,Corn,Milton Nunez,vobva@so.gd,"73,389"
A-3334,Soybean Oil,Polly Miller,raskez@filtezab.sy,"94,021"
A-6638,Cotton No.2,Lela Hardy,amijaoro@vemotzim.pe,"97,050"
A-6006,Adzuki bean,Ann Dawson,pan@gibasbi.qa,"39,382"
A-9763,Milk,Eleanor Dean,zavoj@bahnubdog.cg,"45,431"
A-6924,Rapeseed,Marion Watkins,kige@nihef.py,"36,967"
A-7932,Coffee C,Lucinda Taylor,nus@sebfinvuc.km,"29,848"
A-1316,Frozen Concentrated Orange Juice,Sylvia Wilkerson,hij@escofek.mw,"98,149"
A-505,Milk,Maud May,ku@herfebcor.cx,"81,180"
A-8704,Sugar No.11,Dylan Cain,lilpa@pemwulpic.gf,"43,491"
A-2743,Cotton No.2,Louisa Lloyd,rigu@zida.gq,"60,460"
A-3878,Milk,Derrick Alvarez,kalate@se.il,"71,389"
A-3389,Sugar No.14,Vincent Harris,urupacfu@dafasgoc.cw,"58,697"
A-9900,Frozen Concentrated Orange Juice,Wayne Reeves,iwuzen@aj.my,"19,750"
A-5298,Cocoa,Connor Silva,vejodguc@becasul.ke,"3,178"
A-7438,Rough Rice,Lina Armstrong,rin@nafo.fm,"56,004"
A-8351,Cocoa,Seth Terry,je@gen.ge,"59,351"
A-3354,Sugar No.11,Barbara Hogan,zuh@acpab.sy,"46,104"
A-6944,Rough Rice,Mathilda Gibbs,bem@dopu.ir,"8,286"
A-8925,Corn,Glen Perry,mi@vudug.bs,"19,206"
A-5538,Soybeans,Rhoda Hughes,golugi@fozej.to,"17,691"
A-6045,Milk,Floyd Torres,misdew@ika.tn,"83,467"
